"","CompositeCommonName","scientific_name"
"641","gopher rockfish","Sebastes carnatus"
"642","kelp bass","Paralabrax clathratus"
"643","white croaker","Genyonemus lineatus"
"644","california scorpionfish","Scorpaena guttata"
"645","chub mackerel","Scomber japonicus"
"646","kelp bass","Paralabrax clathratus"
"647","white croaker","Genyonemus lineatus"
"648","california scorpionfish","Scorpaena guttata"
"649","barred surfperch","Amphistichus argenteus"
"650","california corbina","Menticirrhus undulatus"
"651","gray smoothhound shark","Mustelus californicus"
"652","chub mackerel","Scomber japonicus"
"653","yellowfin croaker","Umbrina roncador"
"654","shiner surfperch","Cymatogaster aggregata"
"655","spotted sand bass","Paralabrax maculatofasciatus"
"656","black croaker","Cheilotrema saturnum"
"657","leopard shark","Triakis semifasciata"
"658","northern anchovy","Engraulis mordax"
"659","chub mackerel","Scomber japonicus"
"660","slough anchovy","Anchoa delicatissima"
"661","yellowfin croaker","Umbrina roncador"
"662","barred sand bass","Paralabrax nebulifer"
"663","gray smoothhound shark","Mustelus californicus"
"664","chub mackerel","Scomber japonicus"
"665","shiner surfperch","Cymatogaster aggregata"
"666","spotted sand bass","Paralabrax maculatofasciatus"
"667","black croaker","Cheilotrema saturnum"
"668","black perch","Embiotica jacksoni"
"669","barred sand bass","Paralabrax nebulifer"
"670","leopard shark","Triakis semifasciata"
"671","northern anchovy","Engraulis mordax"
"672","queenfish","Seriphus politus"
"673","slough anchovy","Anchoa delicatissima"
"674","kelp bass","Paralabrax clathratus"
"675","chub mackerel","Scomber japonicus"
"676","kelp bass","Paralabrax clathratus"
"677","chub mackerel","Scomber japonicus"
"678","white croaker","Genyonemus lineatus"
"679","yellowfin croaker","Umbrina roncador"
"680","kelp bass","Paralabrax clathratus"
"681","barred sand bass","Paralabrax nebulifer"
"682","kelp bass","Paralabrax clathratus"
"683","chub mackerel","Scomber japonicus"
"684","yellowfin croaker","Umbrina roncador"
"685","kelp bass","Paralabrax clathratus"
"686","chub mackerel","Scomber japonicus"
"687","white croaker","Genyonemus lineatus"
"688","yellowfin croaker","Umbrina roncador"
"689","kelp bass","Paralabrax clathratus"
"690","chub mackerel","Scomber japonicus"
"691","kelp bass","Paralabrax clathratus"
"692","chub mackerel","Scomber japonicus"
"693","kelp bass","Paralabrax clathratus"
"694","chub mackerel","Scomber japonicus"
"695","white croaker","Genyonemus lineatus"
"696","kelp bass","Paralabrax clathratus"
"697","white croaker","Genyonemus lineatus"
"698","barred sand bass","Paralabrax nebulifer"
"699","chub mackerel","Scomber japonicus"
"700","white croaker","Genyonemus lineatus"
"701","kelp bass","Paralabrax clathratus"
"702","chub mackerel","Scomber japonicus"
"703","spotted sand bass","Paralabrax maculatofasciatus"
"704","yellowfin croaker","Umbrina roncador"
"705","kelp bass","Paralabrax clathratus"
"706","chub mackerel","Scomber japonicus"
"707","spotted sand bass","Paralabrax maculatofasciatus"
"708","kelp bass","Paralabrax clathratus"
"709","chub mackerel","Scomber japonicus"
"710","kelp bass","Paralabrax clathratus"
"711","chub mackerel","Scomber japonicus"
"712","white croaker","Genyonemus lineatus"
"713","barred sand bass","Paralabrax nebulifer"
"714","spotfin croaker","Roncador stearnsii"
"715","spotted sand bass","Paralabrax maculatofasciatus"
"716","yellowfin croaker","Umbrina roncador"
"717","kelp bass","Paralabrax clathratus"
"718","chub mackerel","Scomber japonicus"
"719","yellowfin croaker","Umbrina roncador"
"720","barred sand bass","Paralabrax nebulifer"
"721","kelp bass","Paralabrax clathratus"
"722","chub mackerel","Scomber japonicus"
"723","spotted sand bass","Paralabrax maculatofasciatus"
"724","white surfperch","Phanerodon furcatus"
"725","yellowfin croaker","Umbrina roncador"
"726","kelp bass","Paralabrax clathratus"
"727","white croaker","Genyonemus lineatus"
"728","barred sand bass","Paralabrax nebulifer"
"729","northern anchovy","Engraulis mordax"
"730","slough anchovy","Anchoa delicatissima"
"731","spotted sand bass","Paralabrax maculatofasciatus"
"732","barred sand bass","Paralabrax nebulifer"
"733","kelp bass","Paralabrax clathratus"
"734","northern anchovy","Engraulis mordax"
"735","chub mackerel","Scomber japonicus"
"736","queenfish","Seriphus politus"
"737","spotted sand bass","Paralabrax maculatofasciatus"
"738","kelp bass","Paralabrax clathratus"
"739","chub mackerel","Scomber japonicus"
"740","kelp bass","Paralabrax clathratus"
"741","chub mackerel","Scomber japonicus"
"742","white croaker","Genyonemus lineatus"
"743","yellowfin croaker","Umbrina roncador"
"744","kelp bass","Paralabrax clathratus"
"745","kelp bass","Paralabrax clathratus"
"746","chub mackerel","Scomber japonicus"
"747","yellowfin croaker","Umbrina roncador"
"748","kelp bass","Paralabrax clathratus"
"749","chub mackerel","Scomber japonicus"
"750","white croaker","Genyonemus lineatus"
"751","yellowfin croaker","Umbrina roncador"
"752","kelp bass","Paralabrax clathratus"
"753","chub mackerel","Scomber japonicus"
"754","kelp bass","Paralabrax clathratus"
"755","chub mackerel","Scomber japonicus"
"756","kelp bass","Paralabrax clathratus"
"757","chub mackerel","Scomber japonicus"
"758","white croaker","Genyonemus lineatus"
"759","kelp bass","Paralabrax clathratus"
"760","chub mackerel","Scomber japonicus"
"761","white croaker","Genyonemus lineatus"
"762","kelp bass","Paralabrax clathratus"
"763","chub mackerel","Scomber japonicus"
"764","spotted sand bass","Paralabrax maculatofasciatus"
"765","yellowfin croaker","Umbrina roncador"
"766","kelp bass","Paralabrax clathratus"
"767","chub mackerel","Scomber japonicus"
"768","kelp bass","Paralabrax clathratus"
"769","chub mackerel","Scomber japonicus"
"770","kelp bass","Paralabrax clathratus"
"771","chub mackerel","Scomber japonicus"
"772","white croaker","Genyonemus lineatus"
"773","barred sand bass","Paralabrax nebulifer"
"774","spotfin croaker","Roncador stearnsii"
"775","spotted sand bass","Paralabrax maculatofasciatus"
"776","kelp bass","Paralabrax clathratus"
"777","chub mackerel","Scomber japonicus"
"778","kelp bass","Paralabrax clathratus"
"779","chub mackerel","Scomber japonicus"
"780","spotted sand bass","Paralabrax maculatofasciatus"
"781","yellowfin croaker","Umbrina roncador"
"782","kelp bass","Paralabrax clathratus"
"783","barred sand bass","Paralabrax nebulifer"
"784","slough anchovy","Anchoa delicatissima"
"785","spotted sand bass","Paralabrax maculatofasciatus"
"786","kelp bass","Paralabrax clathratus"
"787","chub mackerel","Scomber japonicus"
"788","queenfish","Seriphus politus"
"789","spotted sand bass","Paralabrax maculatofasciatus"
"790","chub mackerel","Scomber japonicus"
"791","chub mackerel","Scomber japonicus"
"792","chub mackerel","Scomber japonicus"
"793","chub mackerel","Scomber japonicus"
"794","chub mackerel","Scomber japonicus"
"795","chub mackerel","Scomber japonicus"
"796","chub mackerel","Scomber japonicus"
"797","chub mackerel","Scomber japonicus"
"798","chub mackerel","Scomber japonicus"
"799","chub mackerel","Scomber japonicus"
"800","chub mackerel","Scomber japonicus"
"801","california corbina","Menticirrhus undulatus"
"802","california corbina","Menticirrhus undulatus"
"803","california halibut","Paralichthys californicus"
"804","california halibut","Paralichthys californicus"
"805","market squid","Doryteuthis opalescens"
"806","market squid","Doryteuthis opalescens"
"807","market squid","Doryteuthis opalescens"
"808","market squid","Doryteuthis opalescens"
"809","market squid","Doryteuthis opalescens"
"810","market squid","Doryteuthis opalescens"
"811","market squid","Doryteuthis opalescens"
"812","market squid","Doryteuthis opalescens"
"813","market squid","Doryteuthis opalescens"
"814","market squid","Doryteuthis opalescens"
"815","market squid","Doryteuthis opalescens"
"816","market squid","Doryteuthis opalescens"
"817","market squid","Doryteuthis opalescens"
"818","market squid","Doryteuthis opalescens"
"819","market squid","Doryteuthis opalescens"
"820","market squid","Doryteuthis opalescens"
"821","market squid","Doryteuthis opalescens"
"822","market squid","Doryteuthis opalescens"
"823","market squid","Doryteuthis opalescens"
"824","market squid","Doryteuthis opalescens"
"825","market squid","Doryteuthis opalescens"
"826","market squid","Doryteuthis opalescens"
"827","market squid","Doryteuthis opalescens"
"828","market squid","Doryteuthis opalescens"
"829","market squid","Doryteuthis opalescens"
"830","market squid","Doryteuthis opalescens"
"831","northern anchovy","Engraulis mordax"
"832","northern anchovy","Engraulis mordax"
"833","northern anchovy","Engraulis mordax"
"834","northern anchovy","Engraulis mordax"
"835","northern anchovy","Engraulis mordax"
"836","northern anchovy","Engraulis mordax"
"837","northern anchovy","Engraulis mordax"
"838","northern anchovy","Engraulis mordax"
"839","northern anchovy","Engraulis mordax"
"840","northern anchovy","Engraulis mordax"
"841","northern anchovy","Engraulis mordax"
"842","northern anchovy","Engraulis mordax"
"843","northern anchovy","Engraulis mordax"
"844","northern anchovy","Engraulis mordax"
"845","northern anchovy","Engraulis mordax"
"846","northern anchovy","Engraulis mordax"
"847","northern anchovy","Engraulis mordax"
"848","northern anchovy","Engraulis mordax"
"849","northern anchovy","Engraulis mordax"
"850","northern anchovy","Engraulis mordax"
"851","pacific sardine","Sardinops sagax"
"852","pacific sardine","Sardinops sagax"
"853","pacific sardine","Sardinops sagax"
"854","pacific sardine","Sardinops sagax"
"855","pacific sardine","Sardinops sagax"
"856","pacific sardine","Sardinops sagax"
"857","pacific sardine","Sardinops sagax"
"858","pacific sardine","Sardinops sagax"
"859","pacific sardine","Sardinops sagax"
"860","pacific sardine","Sardinops sagax"
"861","pacific sardine","Sardinops sagax"
"862","pacific sardine","Sardinops sagax"
"863","pacific sardine","Sardinops sagax"
"864","pacific sardine","Sardinops sagax"
"865","pacific sardine","Sardinops sagax"
"866","pacific sardine","Sardinops sagax"
"867","pacific sardine","Sardinops sagax"
"868","pacific sardine","Sardinops sagax"
"869","pacific sardine","Sardinops sagax"
"870","pacific sardine","Sardinops sagax"
"871","pacific sardine","Sardinops sagax"
"872","pacific sardine","Sardinops sagax"
"873","pacific sardine","Sardinops sagax"
"874","pacific sardine","Sardinops sagax"
"875","pacific sardine","Sardinops sagax"
"876","pacific sardine","Sardinops sagax"
"877","pacific sardine","Sardinops sagax"
"878","pacific sardine","Sardinops sagax"
"879","pacific sardine","Sardinops sagax"
"880","pacific sardine","Sardinops sagax"
"881","pacific sardine","Sardinops sagax"
"882","top smelt","Atherinops affinis"
"883","white croaker","Genyonemus lineatus"
"884","barred sand bass","Paralabrax nebulifer"
"885","kelp bass","Paralabrax clathratus"
"886","queenfish","Seriphus politus"
"887","white croaker","Genyonemus lineatus"
"888","queenfish","Seriphus politus"
"889","white croaker","Genyonemus lineatus"
"890","queenfish","Seriphus politus"
"891","white croaker","Genyonemus lineatus"
"892","california halibut","Paralichthys californicus"
"893","california scorpionfish","Scorpaena guttata"
"894","opaleye","Girella nigricans"
"895","top smelt","Atherinops affinis"
"896","white croaker","Genyonemus lineatus"
"897","yellowfin croaker","Umbrina roncador"
"898","california scorpionfish","Scorpaena guttata"
"899","white croaker","Genyonemus lineatus"
"900","barred sand bass","Paralabrax nebulifer"
"901","black croaker","Cheilotrema saturnum"
"902","california corbina","Menticirrhus undulatus"
"903","kelp bass","Paralabrax clathratus"
"904","opaleye","Girella nigricans"
"905","pacific sardine","Sardinops sagax"
"906","queenfish","Seriphus politus"
"907","white croaker","Genyonemus lineatus"
"908","barred sand bass","Paralabrax nebulifer"
"909","jacksmelt","Atherinopsis californiensis"
"910","opaleye","Girella nigricans"
"911","pacific sardine","Sardinops sagax"
"912","top smelt","Atherinops affinis"
"913","barred sand bass","Paralabrax nebulifer"
"914","barred sand bass","Paralabrax nebulifer"
"915","california scorpionfish","Scorpaena guttata"
"916","white croaker","Genyonemus lineatus"
"917","barred sand bass","Paralabrax nebulifer"
"918","california scorpionfish","Scorpaena guttata"
"919","california sheephead","Semicossyphus pulcher"
"920","kelp bass","Paralabrax clathratus"
"921","opaleye","Girella nigricans"
"922","pacific sardine","Sardinops sagax"
"923","queenfish","Seriphus politus"
"924","white croaker","Genyonemus lineatus"
"925","barred sand bass","Paralabrax nebulifer"
"926","california corbina","Menticirrhus undulatus"
"927","california halibut","Paralichthys californicus"
"928","california scorpionfish","Scorpaena guttata"
"929","jacksmelt","Atherinopsis californiensis"
"930","kelp bass","Paralabrax clathratus"
"931","pacific sardine","Sardinops sagax"
"932","queenfish","Seriphus politus"
"933","shovelnose guitarfish","Rhinobatos productus"
"934","top smelt","Atherinops affinis"
"935","white croaker","Genyonemus lineatus"
"936","barred sand bass","Paralabrax nebulifer"
"937","california halibut","Paralichthys californicus"
"938","kelp bass","Paralabrax clathratus"
"939","opaleye","Girella nigricans"
"940","queenfish","Seriphus politus"
"941","shovelnose guitarfish","Rhinobatos productus"
"942","white croaker","Genyonemus lineatus"
"943","california corbina","Menticirrhus undulatus"
"944","queenfish","Seriphus politus"
"945","shovelnose guitarfish","Rhinobatos productus"
"946","white croaker","Genyonemus lineatus"
"947","yellowfin croaker","Umbrina roncador"
"948","barred sand bass","Paralabrax nebulifer"
"949","california scorpionfish","Scorpaena guttata"
"950","kelp bass","Paralabrax clathratus"
"951","opaleye","Girella nigricans"
"952","white croaker","Genyonemus lineatus"
"953","yellowfin croaker","Umbrina roncador"
"954","barred sand bass","Paralabrax nebulifer"
"955","kelp bass","Paralabrax clathratus"
"956","white croaker","Genyonemus lineatus"
"957","california corbina","Menticirrhus undulatus"
"958","white croaker","Genyonemus lineatus"
"959","white croaker","Genyonemus lineatus"
"960","california scorpionfish","Scorpaena guttata"
"961","white croaker","Genyonemus lineatus"
"962","california scorpionfish","Scorpaena guttata"
"963","kelp bass","Paralabrax clathratus"
"964","pacific barracuda","Sphyraena argentea"
"965","white croaker","Genyonemus lineatus"
"966","pacific barracuda","Sphyraena argentea"
"967","barred sand bass","Paralabrax nebulifer"
"968","black croaker","Cheilotrema saturnum"
"969","california scorpionfish","Scorpaena guttata"
"970","kelp bass","Paralabrax clathratus"
"971","opaleye","Girella nigricans"
"972","white croaker","Genyonemus lineatus"
"973","copper rockfish","Sebastes caurinus"
"974","vermilion rockfish","Sebastes miniatus"
"975","vermilion rockfish","Sebastes miniatus"
"976","starry rockfish","Sebastes constellatus"
"977","copper rockfish","Sebastes caurinus"
"978","copper rockfish","Sebastes caurinus"
"979","flag rockfish","Sebastes rubrivinctus"
"980","vermilion rockfish","Sebastes miniatus"
"981","copper rockfish","Sebastes caurinus"
"982","vermilion rockfish","Sebastes miniatus"
"983","vermilion rockfish","Sebastes miniatus"
"984","vermilion rockfish","Sebastes miniatus"
"985","vermilion rockfish","Sebastes miniatus"
"986","copper rockfish","Sebastes caurinus"
"987","copper rockfish","Sebastes caurinus"
"988","greenspotted rockfish","Sebastes chlorostictus"
"989","speckled rockfish","Sebastes ovalis"
"990","squarespot rockfish","Sebastes hopkinsi"
"991","squarespot rockfish","Sebastes hopkinsi"
"992","copper rockfish","Sebastes caurinus"
"993","copper rockfish","Sebastes caurinus"
"994","copper rockfish","Sebastes caurinus"
"995","starry rockfish","Sebastes constellatus"
"996","yellowtail rockfish","Sebastes flavidus"
"997","yellowtail rockfish","Sebastes flavidus"
"998","copper rockfish","Sebastes caurinus"
"999","vermilion rockfish","Sebastes miniatus"
"1000","vermilion rockfish","Sebastes miniatus"
"1001","greenblotched rockfish","Sebastes rosenblatti"
"1002","greenblotched rockfish","Sebastes rosenblatti"
"1003","copper rockfish","Sebastes caurinus"
"1004","greenblotched rockfish","Sebastes rosenblatti"
"1005","vermilion rockfish","Sebastes miniatus"
"1006","vermilion rockfish","Sebastes miniatus"
"1007","copper rockfish","Sebastes caurinus"
"1008","vermilion rockfish","Sebastes miniatus"
"1009","vermilion rockfish","Sebastes miniatus"
"1010","vermilion rockfish","Sebastes miniatus"
"1011","california scorpionfish","Scorpaena guttata"
"1012","california scorpionfish","Scorpaena guttata"
"1013","california scorpionfish","Scorpaena guttata"
"1014","vermilion rockfish","Sebastes miniatus"
"1015","vermilion rockfish","Sebastes miniatus"
"1016","vermilion rockfish","Sebastes miniatus"
"1017","vermilion rockfish","Sebastes miniatus"
"1018","chilipepper rockfish","Sebastes goodei"
"1019","chilipepper rockfish","Sebastes goodei"
"1020","flag rockfish","Sebastes rubrivinctus"
"1021","copper rockfish","Sebastes caurinus"
"1022","vermilion rockfish","Sebastes miniatus"
"1023","greenspotted rockfish","Sebastes chlorostictus"
"1024","starry rockfish","Sebastes constellatus"
"1025","starry rockfish","Sebastes constellatus"
"1026","speckled rockfish","Sebastes ovalis"
"1027","speckled rockfish","Sebastes ovalis"
"1028","speckled rockfish","Sebastes ovalis"
"1029","copper rockfish","Sebastes caurinus"
"1030","vermilion rockfish","Sebastes miniatus"
"1031","vermilion rockfish","Sebastes miniatus"
"1032","speckled rockfish","Sebastes ovalis"
"1033","copper rockfish","Sebastes caurinus"
"1034","vermilion rockfish","Sebastes miniatus"
"1035","speckled rockfish","Sebastes ovalis"
"1036","speckled rockfish","Sebastes ovalis"
"1037","speckled rockfish","Sebastes ovalis"
"1038","vermilion rockfish","Sebastes miniatus"
"1039","vermilion rockfish","Sebastes miniatus"
"1040","speckled rockfish","Sebastes ovalis"
"1041","vermilion rockfish","Sebastes miniatus"
"1042","vermilion rockfish","Sebastes miniatus"
"1043","vermilion rockfish","Sebastes miniatus"
"1044","vermilion rockfish","Sebastes miniatus"
"1045","vermilion rockfish","Sebastes miniatus"
"1046","vermilion rockfish","Sebastes miniatus"
"1047","vermilion rockfish","Sebastes miniatus"
"1048","vermilion rockfish","Sebastes miniatus"
"1049","starry rockfish","Sebastes constellatus"
"1050","starry rockfish","Sebastes constellatus"
"1051","vermilion rockfish","Sebastes miniatus"
"1052","vermilion rockfish","Sebastes miniatus"
"1053","vermilion rockfish","Sebastes miniatus"
"1054","starry rockfish","Sebastes constellatus"
"1055","starry rockfish","Sebastes constellatus"
"1056","vermilion rockfish","Sebastes miniatus"
"1057","vermilion rockfish","Sebastes miniatus"
"1058","vermilion rockfish","Sebastes miniatus"
"1059","squarespot rockfish","Sebastes hopkinsi"
"1060","starry rockfish","Sebastes constellatus"
"1061","brown rockfish","Sebastes auriculatus"
"1062","vermilion rockfish","Sebastes miniatus"
"1063","vermilion rockfish","Sebastes miniatus"
"1064","brown rockfish","Sebastes auriculatus"
"1065","vermilion rockfish","Sebastes miniatus"
"1066","vermilion rockfish","Sebastes miniatus"
"1067","brown rockfish","Sebastes auriculatus"
"1068","brown rockfish","Sebastes auriculatus"
"1069","vermilion rockfish","Sebastes miniatus"
"1070","brown rockfish","Sebastes auriculatus"
"1071","vermilion rockfish","Sebastes miniatus"
"1072","vermilion rockfish","Sebastes miniatus"
"1073","brown rockfish","Sebastes auriculatus"
"1074","brown rockfish","Sebastes auriculatus"
"1075","vermilion rockfish","Sebastes miniatus"
"1076","brown rockfish","Sebastes auriculatus"
"1077","brown rockfish","Sebastes auriculatus"
"1078","brown rockfish","Sebastes auriculatus"
"1079","brown rockfish","Sebastes auriculatus"
"1080","brown rockfish","Sebastes auriculatus"
"1081","brown rockfish","Sebastes auriculatus"
"1082","brown rockfish","Sebastes auriculatus"
"1083","brown rockfish","Sebastes auriculatus"
"1084","brown rockfish","Sebastes auriculatus"
"1085","vermilion rockfish","Sebastes miniatus"
"1086","vermilion rockfish","Sebastes miniatus"
"1087","vermilion rockfish","Sebastes miniatus"
"1088","vermilion rockfish","Sebastes miniatus"
"1089","vermilion rockfish","Sebastes miniatus"
"1090","california scorpionfish","Scorpaena guttata"
"1091","vermilion rockfish","Sebastes miniatus"
"1092","vermilion rockfish","Sebastes miniatus"
"1093","california scorpionfish","Scorpaena guttata"
"1094","squarespot rockfish","Sebastes hopkinsi"
"1095","california scorpionfish","Scorpaena guttata"
"1096","california scorpionfish","Scorpaena guttata"
"1097","california scorpionfish","Scorpaena guttata"
"1098","california scorpionfish","Scorpaena guttata"
"1099","california scorpionfish","Scorpaena guttata"
"1100","california scorpionfish","Scorpaena guttata"
"1101","california scorpionfish","Scorpaena guttata"
"1102","brown rockfish","Sebastes auriculatus"
"1103","california scorpionfish","Scorpaena guttata"
